User,Copilot user,Date,Repository,Insertions,Deletions,Total lines,Files changed,Unit size (DMM),Complexity (DMM),Interface (DMM),Commits,Commit hash,Copilot period,Merge commit,Default branch,Org,Diff lines
User 01,True,2023-05-25,Repo 001,17,75,92,2,1.0,0.0,0.0,1,Commit 001,before,False,True,navikt,-58
User 02,True,2023-06-09,Repo 001,314,16,330,11,1.0,1.0,1.0,1,Commit 002,before,False,True,navikt,298
User 03,True,2023-07-27,Repo 001,1,1,2,1,,,,1,Commit 003,before,False,True,navikt,0
User 01,True,2023-08-11,Repo 001,12,0,12,3,,,,1,Commit 004,before,False,True,navikt,12
User 04,True,2023-09-11,Repo 001,4,4,8,1,,,,1,Commit 005,after,False,True,navikt,0
User 03,True,2023-10-17,Repo 001,10,5,15,6,,,,1,Commit 006,after,False,True,navikt,5
User 02,True,2023-11-17,Repo 001,34,19,53,5,,,,1,Commit 007,after,False,True,navikt,15
User 01,True,2024-02-27,Repo 001,66,8,74,3,,,,1,Commit 008,after,False,True,navikt,58
User 05,True,2024-08-16,Repo 001,12,7,19,3,,,,1,Commit 009,after,False,True,navikt,5
User 06,True,2023-04-11,Repo 002,36,0,36,1,,,,1,Commit 010,before,False,True,navikt,36
User 06,True,2023-04-20,Repo 002,160,291,451,29,0.1538461538461538,0.1538461538461538,0.0,1,Commit 011,before,False,True,navikt,-131
User 06,True,2024-07-01,Repo 003,530,442,972,1,,,,1,Commit 012,after,False,True,navikt,88
User 07,True,2022-11-22,Repo 004,10,2,12,1,,,,1,Commit 013,before,False,True,navikt,8
User 08,True,2022-12-15,Repo 005,2,2,4,1,,,,1,Commit 014,before,False,True,navikt,0
User 09,True,2023-05-02,Repo 005,1,1,2,1,,,,1,Commit 015,before,False,True,navikt,0
User 04,True,2023-12-11,Repo 006,3,7,10,1,,,,1,Commit 016,after,False,True,navikt,-4
User 10,True,2022-11-07,Repo 007,1,1,2,1,,,,1,Commit 017,before,False,True,navikt,0
User 10,True,2022-11-11,Repo 007,1,1,2,1,,,,1,Commit 018,before,False,True,navikt,0
User 10,True,2023-03-03,Repo 007,1,1,2,1,,,,1,Commit 019,before,False,True,navikt,0
User 10,True,2023-05-12,Repo 007,27,8,35,6,0.1111111111111111,1.0,1.0,1,Commit 020,before,False,True,navikt,19
User 10,True,2023-06-09,Repo 007,35,15,50,2,1.0,1.0,1.0,1,Commit 021,before,False,True,navikt,20
User 10,True,2023-06-20,Repo 007,11,3,14,2,0.8571428571428571,1.0,0.8571428571428571,1,Commit 022,before,False,True,navikt,8
User 10,True,2023-06-20,Repo 007,31,10,41,3,0.320754716981132,1.0,1.0,1,Commit 023,before,False,True,navikt,21
User 10,True,2023-06-20,Repo 007,10,31,41,3,0.6792452830188679,0.0,0.0,1,Commit 024,before,False,True,navikt,-21
User 10,True,2023-07-07,Repo 007,100,49,149,9,0.0526315789473684,1.0,1.0,1,Commit 025,before,False,True,navikt,51
User 10,True,2023-07-07,Repo 007,70,138,208,18,0.696969696969697,0.0,0.0,1,Commit 026,before,False,True,navikt,-68
User 10,True,2023-09-19,Repo 007,1,4,5,2,,,,1,Commit 027,after,False,True,navikt,-3
User 10,True,2023-09-22,Repo 007,1,1,2,1,,,,1,Commit 028,after,False,True,navikt,0
User 10,True,2023-10-06,Repo 007,1,1,2,1,,,,1,Commit 029,after,False,True,navikt,0
User 10,True,2023-10-24,Repo 007,0,1881,1881,13,0.8841607565011821,0.0,0.0,1,Commit 030,after,False,True,navikt,-1881
User 10,True,2023-10-25,Repo 007,102,2,104,4,0.9655172413793104,1.0,0.9655172413793104,1,Commit 031,after,False,True,navikt,100
User 10,True,2023-10-30,Repo 007,38,5,43,7,0.0,1.0,0.5833333333333334,1,Commit 032,after,False,True,navikt,33
User 10,True,2023-11-02,Repo 007,5,51,56,8,1.0,0.0,1.0,1,Commit 033,after,False,True,navikt,-46
User 10,True,2023-11-02,Repo 007,0,12,12,2,1.0,0.0,0.0,1,Commit 034,after,False,True,navikt,-12
User 10,True,2023-11-07,Repo 007,8,2,10,2,,,,1,Commit 035,after,False,True,navikt,6
User 10,True,2023-11-07,Repo 007,1,1,2,1,,,,1,Commit 036,after,False,True,navikt,0
User 10,True,2023-11-08,Repo 007,3,0,3,1,,,,1,Commit 037,after,False,True,navikt,3
User 10,True,2023-11-20,Repo 007,1,0,1,1,,,,1,Commit 038,after,False,True,navikt,1
User 10,True,2023-11-20,Repo 007,3,0,3,1,,,,1,Commit 039,after,False,True,navikt,3
User 10,True,2023-11-21,Repo 007,0,2,2,2,,,,1,Commit 040,after,False,True,navikt,-2
User 10,True,2023-12-15,Repo 007,162,55,217,8,0.0,1.0,0.9642857142857144,1,Commit 041,after,False,True,navikt,107
User 10,True,2023-12-20,Repo 007,3,0,3,1,,,,1,Commit 042,after,False,True,navikt,3
User 10,True,2024-02-05,Repo 007,474,112,586,20,1.0,1.0,1.0,1,Commit 043,after,False,True,navikt,362
User 10,True,2024-02-05,Repo 007,1,1,2,1,,,,1,Commit 044,after,False,True,navikt,0
User 10,True,2024-02-06,Repo 007,468,4,472,7,1.0,1.0,1.0,1,Commit 045,after,False,True,navikt,464
User 10,True,2024-02-06,Repo 007,27,10,37,1,0.0,1.0,1.0,1,Commit 046,after,False,True,navikt,17
User 10,True,2024-02-07,Repo 007,5,88,93,8,0.0,0.0,0.0,1,Commit 047,after,False,True,navikt,-83
User 10,True,2024-02-07,Repo 007,131,65,196,4,0.8888888888888888,0.8888888888888888,0.8888888888888888,1,Commit 048,after,False,True,navikt,66
User 10,True,2024-02-08,Repo 007,4,93,97,13,0.68,0.0,0.0,1,Commit 049,after,False,True,navikt,-89
User 10,True,2024-02-13,Repo 007,10,0,10,2,,,,1,Commit 050,after,False,True,navikt,10
User 10,True,2024-02-13,Repo 007,61,0,61,6,,,,1,Commit 051,after,False,True,navikt,61
User 10,True,2024-05-23,Repo 007,113,76,189,7,0.8333333333333334,0.6666666666666666,0.8333333333333334,1,Commit 052,after,False,True,navikt,37
User 10,True,2024-05-28,Repo 007,4,4,8,1,,,,1,Commit 053,after,False,True,navikt,0
User 10,True,2024-06-11,Repo 007,7,10,17,7,0.0,0.0,0.0,1,Commit 054,after,False,True,navikt,-3
User 10,True,2024-06-12,Repo 007,0,23,23,4,,,,1,Commit 055,after,False,True,navikt,-23
User 10,True,2024-06-27,Repo 007,11,14,25,4,1.0,0.6666666666666666,1.0,1,Commit 056,after,False,True,navikt,-3
User 10,True,2024-07-19,Repo 007,269,105,374,8,1.0,0.9285714285714286,1.0,1,Commit 057,after,False,True,navikt,164
User 10,True,2024-08-05,Repo 007,2,2,4,1,,,,1,Commit 058,after,False,True,navikt,0
User 03,True,2023-09-29,Repo 008,2,2,4,1,,,,1,Commit 059,after,False,True,navikt,0
User 03,True,2023-09-29,Repo 008,1,1,2,1,,,,1,Commit 060,after,False,True,navikt,0
User 03,True,2023-09-29,Repo 008,9,9,18,4,,,,1,Commit 061,after,False,True,navikt,0
User 11,True,2022-09-10,Repo 009,1,1,2,1,,,,1,Commit 062,before,False,True,navikt,0
User 11,True,2022-10-06,Repo 009,53,42,95,10,0.0,0.0,0.0,1,Commit 063,before,False,True,navikt,11
User 11,True,2022-10-06,Repo 009,28,55,83,5,,,,1,Commit 064,before,False,True,navikt,-27
User 11,True,2022-10-06,Repo 009,6,7,13,3,1.0,1.0,1.0,1,Commit 065,before,False,True,navikt,-1
User 11,True,2022-10-06,Repo 009,20,13,33,3,0.0,0.0,0.0,1,Commit 066,before,False,True,navikt,7
User 11,True,2022-10-06,Repo 009,163,171,334,48,0.0,0.0,0.0,1,Commit 067,before,False,True,navikt,-8
User 11,True,2022-10-21,Repo 009,2,2,4,1,,,,1,Commit 068,before,False,True,navikt,0
User 11,True,2022-10-27,Repo 009,1,1,2,1,,,,1,Commit 069,before,False,True,navikt,0
User 11,True,2022-10-27,Repo 009,1,1,2,1,,,,1,Commit 070,before,False,True,navikt,0
User 11,True,2022-11-05,Repo 009,2,2,4,1,,,,1,Commit 071,before,False,True,navikt,0
User 11,True,2022-11-05,Repo 009,1,1,2,1,,,,1,Commit 072,before,False,True,navikt,0
User 11,True,2022-11-05,Repo 009,2,2,4,1,,,,1,Commit 073,before,False,True,navikt,0
User 11,True,2022-11-05,Repo 009,1,1,2,1,,,,1,Commit 074,before,False,True,navikt,0
User 11,True,2022-11-07,Repo 009,1,1,2,1,,,,1,Commit 075,before,False,True,navikt,0
User 11,True,2022-11-11,Repo 009,1,0,1,1,,,,1,Commit 076,before,False,True,navikt,1
User 11,True,2022-11-11,Repo 009,14,0,14,1,,,,1,Commit 077,before,False,True,navikt,14
User 11,True,2022-11-11,Repo 009,0,5,5,1,,,,1,Commit 078,before,False,True,navikt,-5
User 11,True,2022-11-11,Repo 009,0,2,2,1,,,,1,Commit 079,before,False,True,navikt,-2
User 11,True,2022-11-11,Repo 009,1,1,2,1,,,,1,Commit 080,before,False,True,navikt,0
User 11,True,2022-11-11,Repo 009,1,1,2,1,,,,1,Commit 081,before,False,True,navikt,0
User 11,True,2022-11-11,Repo 009,13,0,13,1,,,,1,Commit 082,before,False,True,navikt,13
User 11,True,2022-11-24,Repo 009,1,1,2,1,,,,1,Commit 083,before,False,True,navikt,0
User 11,True,2022-11-27,Repo 009,137,20,157,16,,,,1,Commit 084,before,False,True,navikt,117
User 11,True,2022-11-27,Repo 009,3,3,6,1,,,,1,Commit 085,before,False,True,navikt,0
User 11,True,2022-11-27,Repo 009,96500,35,96535,3,,,,1,Commit 086,before,False,True,navikt,96465
User 11,True,2022-11-27,Repo 009,2,2,4,1,,,,1,Commit 087,before,False,True,navikt,0
User 11,True,2022-11-27,Repo 009,5,0,5,1,,,,1,Commit 088,before,False,True,navikt,5
User 11,True,2022-11-27,Repo 009,1,1,2,1,,,,1,Commit 089,before,False,True,navikt,0
User 11,True,2022-11-27,Repo 009,1,2,3,1,,,,1,Commit 090,before,False,True,navikt,-1
User 11,True,2022-11-27,Repo 009,2,1,3,1,,,,1,Commit 091,before,False,True,navikt,1
User 11,True,2022-11-27,Repo 009,1,0,1,1,,,,1,Commit 092,before,False,True,navikt,1
User 11,True,2022-11-27,Repo 009,1,0,1,1,,,,1,Commit 093,before,False,True,navikt,1
User 11,True,2022-11-27,Repo 009,2,2,4,1,,,,1,Commit 094,before,False,True,navikt,0
User 11,True,2022-11-27,Repo 009,1,1,2,1,,,,1,Commit 095,before,False,True,navikt,0
User 11,True,2022-11-27,Repo 009,0,31,31,1,,,,1,Commit 096,before,False,True,navikt,-31
User 11,True,2022-11-27,Repo 009,0,20,20,1,,,,1,Commit 097,before,False,True,navikt,-20
User 11,True,2022-11-27,Repo 009,0,147,147,1,,,,1,Commit 098,before,False,True,navikt,-147
User 11,True,2022-11-28,Repo 009,3,3,6,1,,,,1,Commit 099,before,False,True,navikt,0
User 11,True,2022-12-09,Repo 009,2,0,2,1,,,,1,Commit 100,before,False,True,navikt,2
User 11,True,2023-02-08,Repo 009,1,2,3,1,,,,1,Commit 101,before,False,True,navikt,-1
User 11,True,2023-02-09,Repo 009,1,1,2,1,,,,1,Commit 102,before,False,True,navikt,0
User 11,True,2023-03-04,Repo 009,2,3,5,1,,,,1,Commit 103,before,False,True,navikt,-1
User 11,True,2023-03-12,Repo 009,57,22,79,10,1.0,1.0,1.0,1,Commit 104,before,False,True,navikt,35
User 11,True,2023-03-12,Repo 009,2,7,9,2,0.0,0.0,0.0,1,Commit 105,before,False,True,navikt,-5
User 11,True,2023-03-12,Repo 009,2,2,4,1,,,,1,Commit 106,before,False,True,navikt,0
User 11,True,2023-03-12,Repo 009,8,1,9,1,,,,1,Commit 107,before,False,True,navikt,7
User 11,True,2023-03-13,Repo 009,5,7,12,1,,,,1,Commit 108,before,False,True,navikt,-2
User 11,True,2023-03-13,Repo 009,2,2,4,1,,,,1,Commit 109,before,False,True,navikt,0
User 11,True,2023-03-13,Repo 009,83,26,109,7,1.0,1.0,1.0,1,Commit 110,before,False,True,navikt,57
User 11,True,2023-03-13,Repo 009,41,5,46,3,0.6774193548387096,1.0,1.0,1,Commit 111,before,False,True,navikt,36
User 11,True,2023-03-13,Repo 009,0,1,1,1,,,,1,Commit 112,before,False,True,navikt,-1
User 11,True,2023-03-14,Repo 009,2,2,4,1,,,,1,Commit 113,before,False,True,navikt,0
User 11,True,2023-04-10,Repo 009,7,12,19,3,,,,1,Commit 114,before,False,True,navikt,-5
User 11,True,2023-04-10,Repo 009,1,1,2,1,,,,1,Commit 115,before,False,True,navikt,0
User 11,True,2023-04-10,Repo 009,2,2,4,1,,,,1,Commit 116,before,False,True,navikt,0
User 11,True,2023-04-10,Repo 009,2,2,4,1,,,,1,Commit 117,before,False,True,navikt,0
User 11,True,2023-04-10,Repo 009,4,1,5,1,,,,1,Commit 118,before,False,True,navikt,3
User 11,True,2023-04-10,Repo 009,11,0,11,1,,,,1,Commit 119,before,False,True,navikt,11
User 11,True,2023-04-10,Repo 009,2,2,4,1,,,,1,Commit 120,before,False,True,navikt,0
User 11,True,2023-04-10,Repo 009,8,1,9,1,,,,1,Commit 121,before,False,True,navikt,7
User 11,True,2023-04-10,Repo 009,2,2,4,1,,,,1,Commit 122,before,False,True,navikt,0
User 11,True,2023-04-28,Repo 009,6,1,7,1,,,,1,Commit 123,before,False,True,navikt,5
User 11,True,2023-04-28,Repo 009,48,43,91,1,,,,1,Commit 124,before,False,True,navikt,5
User 11,True,2023-04-28,Repo 009,0,2,2,1,,,,1,Commit 125,before,False,True,navikt,-2
User 11,True,2023-05-10,Repo 009,4,3,7,1,,,,1,Commit 126,before,False,True,navikt,1
User 11,True,2023-05-19,Repo 009,1,1,2,1,,,,1,Commit 127,before,False,True,navikt,0
User 11,True,2023-08-03,Repo 009,1,1,2,1,,,,1,Commit 128,before,False,True,navikt,0
User 11,True,2023-08-03,Repo 009,0,96490,96490,1,,,,1,Commit 129,before,False,True,navikt,-96490
User 11,True,2023-08-03,Repo 009,1,1,2,1,,,,1,Commit 130,before,False,True,navikt,0
User 11,True,2023-08-04,Repo 009,10,8,18,5,1.0,1.0,1.0,1,Commit 131,before,False,True,navikt,2
User 11,True,2023-08-04,Repo 009,20,17,37,1,,,,1,Commit 132,before,False,True,navikt,3
User 11,True,2023-08-04,Repo 009,19,26,45,6,,,,1,Commit 133,before,False,True,navikt,-7
User 11,True,2023-08-04,Repo 009,7,8,15,2,,,,1,Commit 134,before,False,True,navikt,-1
User 11,True,2023-08-07,Repo 009,50,35,85,1,0.0,0.0,1.0,1,Commit 135,before,False,True,navikt,15
User 11,True,2023-08-14,Repo 009,2,44,46,2,,,,1,Commit 136,before,False,True,navikt,-42
User 04,True,2023-08-24,Repo 009,41,20,61,1,1.0,1.0,1.0,1,Commit 137,before,False,True,navikt,21
User 04,True,2023-08-24,Repo 009,354,0,354,3,0.7444444444444445,1.0,0.6444444444444445,1,Commit 138,before,False,True,navikt,354
User 04,True,2023-08-24,Repo 009,2,2,4,2,,,,1,Commit 139,before,False,True,navikt,0
